id;category;name
7010;BANK;Bank(13)
7082;AUX_OAL;AUX OAL Other assets/liabilities (25)
8460;IFRS_IN_FVTPL;iN At fair value through P&L (FVTPL)(01)
8462;IFRS_IN_FVTPL_FX;iN At fair value through P&L (FX)(03)
7170;AUX_NOSTRO;AUX Nostro portfolio(20)
7180;AUX_INTERIM;AUX Interim portfolio(21)
7150;AUX_INTERIM_SEC;AUX Interim Securities Trading(22)
7181;AUX_IN;AUX Bank positions customer(25)
7193;AUX_CRED;AUX Creditor(26)
610;DISCRNY;Discretionary
616;NON_DISCRNY;Non Discretionary
7002;CLT_CONN;Client participation(12)
8461;IFRS_IN_FVTPL_DESIG;iN Designated at fair value through P&L(02)
8465;IFRS_IN_LAR;iN Loans and Receivables (LAR)(06)
7022;IN_FIN_LV;iN Financial assets II (Niederstwert)(18)
7040;AUX_CRED;AUX OAL Creditor(22)
7101;PORTF_CLT;Client portfolio(01)
7179;IAUX_SUNDRY_CUST;iAUX Sundry Custodian(41)
7296;IAUX_CUA_FX;iAUX Customer Accounting FX(53)
7581;IAUX_SBU_CLR;iAUX SBU Clearing(49)
5181;OVERDRAFT_YES;Yes(01)
7012;BANK_CONN;Bank participation(15)
7084;NOT_BAL;Not balanced(27)
7187;IN_ZERO;iN Bookvalue = 0(75)
7025;IN_PARTIC;iN Participation (not to be consolidated)(20)
7194;IAUX_STD;iAUX Standard(47)
7174;IAUX_CUA_LEDGER;iAUX Customer Accounting Ledger(62)
7139;AUX_GUAR;AUX External guarantees(28)
7152;PORTF_CLT_DVP;Client DVP portfolio(04)
7001;CLT_GRP;Client group(11)
8463;IFRS_IN_AFS;iN Available for Sale Investments (AFS)(04)
8467;IFRS_IN_PARTIC_CONS;iN Participation (to be consolidated)(08)
8129;IN_FIN_LOCOM;iN Financial assets II (LOCOM)(29)
7109;PORTF_PRIV;Private portfolio(06)
7083;MAN;Manual(26)
7021;IN_TRADE;iN Trading Inventory(16)
8128;IN_FIN_HTM;iN Financial assets I (HTM)(28)
7031;AUX_SAFE;AUX Vault(21)
8464;IFRS_IN_HTM;iN Held to Maturity Investments (HTM)(05)
7023;IN_FIN_ACCR;iN Financial assets I (Accrual)(17)
7024;IN_PARTIC_CONS;iN Participation (to be consolidated)(19)
600904;MDB$PORTF_CLIENT_HDG;Client Portfolio Hedge(091)
7184;IN_MM_FIN;iN Money market financed(73)
7154;AUX_INTERIM_REPO;AUX Interim Repo(30)
617;IN_LIQ;In Liquidation
5537;CONT_FREMD;Fremddepot(02)
7000;CLT;Client(10)
7011;BANK_GRP;Bank group(14)
7183;IN_FX;iN FX(70)
7195;IAUX_BANCOMAT;iAUX Cash machine(46)
7191;IAUX_CDESK;iAUX Cashier Desk(45)
7186;IN_INTERIM;iN Sales/Interim/Transit(76)
7196;AUX_DEB;AUX Debtor(27)
7198;IAUX_SPEC;iAUX Special(48)
7155;AUX_SLB_COLLAT;AUX SLB Collat(31)
7178;IN_ORIG;iN Originator(77)
8468;IFRS_IN_PARTIC;iN Participation (not to be consolidated)(09)
7103;FSPLAN;Fund saving(02)
7151;AUX_INTERIM_MON;AUX Interim Money Trading(23)
